Year,France,Italy,Portugal,Spain,Austria,Belgium,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World
2002,"5,000,000","4,460,400","638,330","3,453,960","259,908","15,387",,,"988,500","347,700",,,,"111,240",938,"26,515","114,509","209,500","57,600","333,297","154,200","546,100","343,000","243,000","490,661","1,220,373","89,000","46,886","2,088,000","1,269,500","312,200","526,496","101,226","71,434","59,036","50,000","33,066","834,156","26,372","26,162","36,229","344,071",,3359,89880,,,,,,,,,"25,700,562"
2003,"4,749,060","4,408,600","709,947","4,246,240","252,989","12,310",,,"811,000","387,046",,,,"107,660",1343,"41,017","143,835","176,800","65,300","388,002","197,900","545,700","365,280","238,000","571,252","1,085,985","55,000","35,889","2,225,000","1,322,500","262,000","640,848","109,633","81,814","63,573","60,000","34,293","956,015","23,474","22,548","37,510","362,431",,3123,76095,,,,,,,,,"26,658,619"
2004,"5,910,694","5,313,500","720,160","4,280,433","273,456","15,583",,,"1,014,700","443,305",,,,"115,866",1875,"29,767","194,804","197,900","53,000","527,183","340,200","707,072","391,230","201,212","561,468","1,471,227","119,200","52,220","2,305,000","1,564,000","392,500","605,206","73,011","112,559","67,137","85,000","35,000","1,015,697","35,839","26,724","39,023","412,336",,2824,68880,,,,,,,,,"30,584,191"
2005,"5,210,500","5,056,600","701,981","3,643,687","226,400","13,537",,,"910,400","402,700",,,,"100,000",1275,"31,404","170,800","77,300","87,000","310,300","373,400","260,200","317,440","212,970","474,464","1,433,826","102,000","29,134","2,710,000","1,522,000","320,000","735,991","41,486","89,201","77,454","90,000","37,560","905,227","28,563","25,982","39,803","454,935",,3483,84447,,,,,,,,,"28,156,808"
2006,"5,212,700","4,963,300","727,386","3,890,731","225,600","12,365",,,"906,300","393,800",,,,"101,000",2528,"28,257","175,700","70,000","85,000","327,100","193,812","501,400","473,770","216,000","345,379","1,429,789","133,200","50,400","2,358,000","1,540,000","237,000","802,441","56,764","93,581","78,454","105,000","36,159","1,012,980","34,693","25,215","39,699","407,562",,5444,68202,,,,,,,,,"28,286,521"
2007,"4,711,600","4,251,400","581,562","3,520,871","262,803","14,197",,,"1,036,500","350,028",,,,"104,094",998,"21,599","136,953","65,000","107,000","322,000","128,490","535,514","513,130","240,000","385,303","961,972","147,600","50,500","2,414,000","1,504,600","350,200","791,794","62,994","94,041","80,249","52,000","37,000","1,043,500","21,575","21,302","41,803","548,290",,6275,68364,,,,,,,,,"26,401,913"
2008,"4,198,632","4,624,500","542,755","3,736,689","299,372","15,967",,,"1,000,100","400,409",,,,"107,447",1005,"18,213","230,046","50,869","90,200","325,000","159,700","554,182","503,483","250,000","362,110","1,244,778","205,200","52,000","2,346,000","1,467,764","368,300","824,642","55,668","109,001","81,863","69,816","35,000","1,089,000","29,070","24,531","46,225","706,325",,7677,68973,,,,,,,,,"27,022,981"
2009,"4,552,077","4,542,200","571,071","3,548,929","235,188","16,479",,,"913,900","425,000",,,,"111,354",2385,"14,755","230,000","55,614","104,300","330,000","125,135","610,000","501,000","273,000","358,268","1,179,191","205,200","53,000","2,677,000","1,213,547","340,000","981,772","44,553","61,874","70,444","58,840","29,498","1,033,400","24,500","23,250","42,322","888,644",,9883,68475,,,,,,,,,"27,233,722"
2010,"4,531,671","4,673,700","690,919","3,535,347","173,745","14,025",,,"690,600","336,500",,,,"103,094",3038,"13,123","150,083","46,346","103,400","181,279","127,040","328,724","760,530","300,200","343,554","1,151,656","190,000","55,000","2,650,000","1,625,077","338,000","840,891","34,356","65,000","71,667","47,500","33,300","984,800","22,150","27,950","35,411","951,774",,14171,71720,,,,,,,,,"26,889,939"
2011,"5,106,761","4,270,500","542,093","3,370,912","281,476","17,899",,,"913,200","295,000",,,,"101,800",2265,"14,260","122,687","48,875","110,800","275,000","124,627","405,817","696,260","175,400","342,724","1,125,986","235,000","56,500","2,692,400","1,547,300","346,000","946,640","38,212","66,500","83,383","48,000","34,000","1,012,800","23,200","28,490","35,495","1,036,603",,13018,78090,,,,,,,,,"27,192,682"
2012,"4,209,724","4,107,370","611,462","3,112,256","215,475","11,368",,,"901,200","275,000",,,,"100,387",773,"11,010","133,700","44,191","112,700","181,800","148,304","331,061","622,000","179,748","377,149","1,236,145","194,000","57,000","2,981,100","1,166,025","296,700","1,187,672","38,900","67,000","86,517","49,200","34,500","1,095,100","24,000","31,230","36,846","1,255,052",,14702,81873,,,,,,,,,"26,112,223"
2013,"4,293,466","4,796,590","603,970","4,607,855","239,195","12,989",,,"840,900","311,530",,,,"83,863",3338,"13,696","170,000","46,000","98,800","261,800","120,104","106,042","529,000","168,247","371,800","1,245,602","248,400","47,376","3,114,600","1,498,400","271,000","1,210,742","17,951","67,000","91,571","49,800","34,500","1,156,900","28,500","30,000","36,796","1,089,076",,18567,14306,,,,,,,,,"28,646,648"
2014,"4,650,000","4,208,750","603,327","3,950,000","199,869","15,394",,,"920,200","334,300",,,,"93,365",4725,"14,000","70,000","45,272","108,600","258,520","149,850","375,283","490,000","86,904","501,000","1,186,343","320,400","54,663","3,021,400","1,517,900","273,200","1,214,000","39,360","72,500","109,000","52,000","37,000","1,146,000","21,500","44,707","35,000","1,079,206",,21206,15073,,,,,,,,,"27,389,773"
2015,"4,700,000","4,950,000","700,000","3,770,000","230,000","16,000",,,"887,281","250,000",,,,"90,000",3800,"14,000","130,000","45,000","130,000","287,300","170,000","350,000","560,000","75,000","500,000","1,191,193","234,700","55,000","3,080,000","1,335,800","350,000","1,233,562",,,,,,"1,123,100",,,,"1,002,768",,,16919,,,,,,,,,"27,600,000"
2016,"4,350,000","5,090,000","600,000","3,930,000","200,000","16,000",,,"900,000","260,000",,,,"90,000","4,000","14,000","120,000","45,000","110,000","190,000","170,000","330,000","560,000","75,000","500,000","1,310,000","313,900","55,000","3,150,000","940,000","160,000","1,010,000",,,,,,"1,053,100",,,,"993,563",,,17000,,,,,,,,,"26,700,000"
