,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,115100,184400,136000,189200,174100,183800,242600,262100,283800,233800,339600,378100,426000,498900,515100,394000,440600,513300,452900,457500,513400,615500,515500,543500,546300,663500,528200,464900,765600,836800,573400,558500,218700,734700,754800,436500,581200,794800,926200,663100,670700,761500,691600,1066200,848900,710100,894000,1034400,1162400,1039700,1250900,1150300,1079400,1300100,1068600,1767200,1342200,861600,1409800,1776700,1582600,1675000,1917000,2074000,1953000,1827000,2192000,2817000,1951000,1792000,1836000,2178000,1999000,2257000,2718000,2210000,2820000,2332000,2027000,2635000,2349000,2180000,2518000,2472000,1881000,1574000,1857000,2602000,2063000,2032000,1403600,1450000,1435000,1447000,1817300,1644300,1268100,1350000,1267300,1588770,1253700,1583500,1269500,1322500,1564000,1522000,1540000,1504600,1467764,1213547,1625077,1547300,1166025,1498400,1517900,1335800,940000
United States,91790,93395,91408,169190,118565,126608,106824,150075,180355,158497,178027,178652,212149,180079,180768,170003,117626,152770,147184,132589,76019,77722,24064,55669,34281,13771,22111,16682,18636,43086,11943,25207,19722,71000,154642,170893,280818,212427,375746,690000,540000,849730,507080,540750,627410,838110,825853,813596,801339,789083,776826,764569,752312,740055,727798,715541,703284,691028,678771,666514,654257,642000,695000,735000,730000,831000,734000,780000,812000,1023000,969000,1370000,1204000,1581000,1424000,1453000,1437000,1583000,1616000,1605000,1800000,1630000,1950000,1476000,1666000,1720000,1927000,1904000,2011000,1761000,1585200,1514000,1654000,1585000,1755000,1866800,1887700,2200000,2050400,1905000,2333000,2219000,2088000,2225000,2305000,2710000,2358000,2414000,2346000,2677000,2650000,2692400,2981100,3114600,3021400,3080000,3150000
Algeria,544418,556303,366611,597368,791558,774035,690572,860123,700373,822872,841365,883368,667118,743173,1031700,513902,878127,623307,634310,778337,704122,500211,747309,1018636,978720,1236612,837914,803150,1366662,1283243,1356139,1585667,1831489,1673096,2204277,1891005,1152683,1542396,2148980,1787661,1403399,1060339,1231334,659623,926186,950022,903973,830279,1265420,1446730,1429582,1374273,1231793,1828775,1929742,1439812,1863087,1528557,1382674,1860063,1585080,1563194,1500000,1257520,1047700,1402600,682229,644607,995000,871050,869200,924700,575338,590984,628172,431900,378273,254876,184000,270976,283751,266888,151400,187567,139380,93810,90630,91780,62100,50373,48500,46000,40957,65000,50000,57100,39200,35700,36000,42156,42362,42000,50000,60000,85000,90000,105000,52000,69816,58840,47500,48000,49200,49800,52000,0,0
South Africa,21476,21936,21936,21941,26015,20835,15656,27121,27587,21710,34100,36843,39586,42329,45071,47814,50557,53300,57100,70600,77000,60600,60900,34100,55413,61100,58400,67770,83484,84593,94498,86870,108211,106081,117822,114087,142700,145400,178400,181800,186722,191644,196567,201489,206144,211333,216256,221178,226100,225100,245800,191300,253500,255000,287700,323200,283100,286100,286000,318200,286900,305000,349000,350000,373000,452000,416000,432000,492000,490000,424000,553000,535000,539000,505000,590000,597000,482000,606000,630000,707000,773000,895000,917000,908000,831000,767000,880000,916000,968000,852000,857400,883900,811100,804400,844600,1012612,880915,815600,914100,837210,746485,834156,956015,1015697,905227,1012980,1043500,1089000,1033400,984800,1012800,1095100,1156900,1146000,1123100,1053100
Chile,71430,80407,81046,93480,114843,117056,80790,91448,63566,94931,99927,142617,151032,138380,129985,121866,114422,158985,155492,123436,124180,126263,149192,169059,164702,122811,152400,308497,345145,327797,320197,242482,241112,325553,292507,221980,292383,285687,278991,272295,265600,264581,251909,242338,293161,258491,254203,261494,326634,314100,360234,339490,220030,364728,352553,363637,395388,357893,372050,363819,368844,485276,552927,460593,483710,364844,473599,488780,535987,402353,400561,525147,640177,544592,466517,464871,514269,578638,561175,540021,586000,594300,610000,520000,450000,319650,300382,286364,335039,329789,327588,237404,212757,223981,276648,290904,337273,381667,444007,371428,570431,504369,526496,640848,605206,735991,802441,791794,824642,981772,840891,946640,1187672,1210742,1214000,1233562,1010000
Australia,14919,25493,26440,23576,28459,26603,25412,27008,20230,25075,20923,26667,22617,27748,21411,13071,26763,23304,31209,39518,34774,50071,38835,51951,66662,60459,73787,92995,78658,84557,73050,59454,64510,74635,63726,73939,80591,87950,89493,64817,64131,70406,70872,86951,86875,63169,113409,145572,149470,149191,148539,118361,160269,136484,143954,108942,104184,139991,153900,148088,129112,153625,189938,136114,171926,176927,156112,189721,202045,236899,286975,251199,290240,256717,294666,361177,346255,372269,332304,345392,404893,366413,394738,334557,393675,444572,383082,366541,403325,494235,439264,394289,475586,457799,587377,502796,673445,618037,741774,851413,859502,1076537,1220373,1085985,1471227,1433826,1429789,961972,1244778,1179191,1151656,1125986,1236145,1245602,1186343,1191193,1310000
Brazil,37881,38387,38893,39399,39905,40411,40917,41423,41929,42435,42941,43447,43953,44458,44964,45470,45976,46482,46988,47494,48000,47300,75000,44200,70700,71700,81900,86100,84100,75300,136700,124800,93300,68600,52600,76200,85800,77200,82800,80200,75000,62900,62600,70900,73333,75767,78200,85000,97000,90000,62100,97700,82100,85200,102000,74300,137600,169800,167000,156000,150000,158000,139000,118000,100000,193000,126000,196000,199000,158000,190000,190000,230000,236000,204000,204000,220000,264000,285000,285000,200000,288000,330000,188000,243000,366000,225000,218000,349000,274000,310800,305500,358400,268900,302000,312800,312800,274300,278200,319029,300000,296800,312200,262000,392500,320000,237000,350200,368300,340000,338000,346000,296700,271000,273200,350000,160000
Other countries,58434,70271,48177,75301,79785,70374,82930,87617,81257,116253,104065,119600,111299,111003,122002,82304,110753,106738,111994,90856,105908,70242,112430,134489,141698,150399,142135,134420,170521,202781,182091,191226,295061,271496,287931,300166,257501,252436,368811,269513,305846,262612,292530,182497,200705,202655,200166,209965,239893,274189,274666,296102,260719,345486,454502,451961,499125,486872,547558,637836,548012,539169,552386,654885,624923,748601,555227,459088,508541,393561,463580,516095,508123,543444,536777,496098,442843,432244,459084,544454,590572,713949,658996,689509,690097,769264,803477,774399,819547,758591,713486,729657,916474,911928,833196,756691,727429,782347,797729,831386,845756,885666,885697,866477,988769,980308,990776,1158666,1375968,1503294,1554650,1707395,1896255,1675909,1793009,1439387,1489463
